dim,gpu_ms,cpu_ms,speedup,max_abs_diff,mean_abs_diff,rel_err,gpu_selected,timestamp
90,1.0711,0.7318,0.683,3.307264e-09,6.217742e-10,1.416764e-03,True,1775789334.0974455
90,1.0332,0.6879,0.666,2.724903e-09,4.987347e-10,1.132530e-03,True,1775789334.3188791
90,1.0711,0.7504,0.701,2.722459e-09,4.857868e-10,1.102157e-03,True,1775789334.540788
90,1.0314,0.6837,0.663,3.302716e-09,5.374358e-10,1.243283e-03,True,1775789334.760716
90,1.1274,0.7791,0.691,2.302727e-09,5.462428e-10,1.177168e-03,True,1775789334.9818923
90,1.0841,0.6994,0.645,3.607965e-09,7.540008e-10,1.750546e-03,True,1775789335.2052398
90,1.0557,0.7104,0.673,3.380137e-09,7.294672e-10,1.690291e-03,True,1775789335.4261224
90,1.0435,0.6923,0.664,5.427637e-09,9.541498e-10,2.423925e-03,True,1775789335.648265
90,1.0281,0.6791,0.660,5.599077e-09,9.747939e-10,2.426106e-03,True,1775789335.8686824
90,1.1069,0.7682,0.694,2.844331e-09,5.017812e-10,1.160103e-03,True,1775789336.0928328
90,1.0465,0.7083,0.677,1.630629e-06,3.372487e-07,1.651082e-03,True,1775789336.3991475
90,1.1080,0.7964,0.719,1.384440e-06,2.307167e-07,7.079747e-03,True,1775789336.622995
90,1.0721,0.7376,0.688,1.320723e-08,2.087787e-09,2.411197e-03,True,1775789336.8451815
90,1.0622,0.7367,0.694,3.182549e-08,4.699502e-09,7.279423e-03,True,1775789337.0699134
90,1.0824,0.7691,0.711,3.930495e-08,6.149137e-09,9.616082e-03,True,1775789337.2924843
90,1.0769,0.7401,0.687,3.972309e-08,6.088618e-09,9.597941e-03,True,1775789337.514744
90,1.0906,0.7322,0.671,3.512491e-08,5.506970e-09,8.350960e-03,True,1775789337.7347505
90,1.1447,0.8068,0.705,3.691139e-08,5.642620e-09,8.274272e-03,True,1775789337.9598255
90,1.0824,0.7712,0.713,3.804735e-08,5.938483e-09,9.220815e-03,True,1775789338.1886826
90,1.0476,0.7093,0.677,4.242247e-08,6.607181e-09,1.007275e-02,True,1775789338.410112
90,1.0954,0.7485,0.683,3.810555e-08,5.858118e-09,8.796298e-03,True,1775789338.6337657
90,1.0382,0.7092,0.683,4.152093e-08,6.400572e-09,9.830096e-03,True,1775789338.8537471
90,1.1109,0.7882,0.710,3.591299e-08,5.576380e-09,8.658562e-03,True,1775789339.0744443
90,1.0752,0.7708,0.717,3.860896e-08,5.908912e-09,9.241585e-03,True,1775789339.298613
90,1.0598,0.7156,0.675,3.725313e-08,5.837750e-09,8.956564e-03,True,1775789339.522919
90,1.0474,0.7015,0.670,4.015510e-08,6.204303e-09,9.574820e-03,True,1775789339.7440922
48,0.8755,0.5724,0.654,4.582410e-05,7.496872e-06,3.179796e-04,True,1775789340.9484136
48,0.8799,0.5436,0.618,1.706555e-05,3.486399e-06,5.154464e-04,True,1775789341.1100903
48,0.8681,0.5414,0.624,1.365755e-06,3.790052e-07,4.601443e-04,True,1775789341.2716763
48,0.8460,0.4931,0.583,8.919742e-07,1.359228e-07,3.140671e-04,True,1775789341.4320037
91,1.1430,0.7977,0.698,6.390959e-04,1.477022e-05,2.840893e-03,True,1775789344.7912247
91,1.1241,0.7560,0.673,3.343821e-05,1.280276e-06,4.874774e-04,True,1775789345.0303123
91,1.0760,0.7351,0.683,3.386289e-05,7.780279e-07,1.581295e-03,True,1775789345.2666924
91,1.0884,0.7465,0.686,1.148134e-05,2.880046e-07,1.281260e-03,True,1775789345.5032206
91,1.0435,0.7209,0.691,8.865260e-06,1.612019e-07,2.213816e-03,True,1775789345.7379193
91,1.0650,0.7476,0.702,1.309789e-06,4.306609e-08,9.420643e-04,True,1775789345.9724147
91,1.0691,0.7423,0.694,2.639834e-06,4.152011e-08,3.158567e-03,True,1775789346.2085812
91,1.0679,0.7336,0.687,2.041037e-06,3.344293e-08,7.595065e-03,True,1775789346.4458907
91,1.1143,0.7424,0.666,1.777895e-06,3.091465e-08,6.054251e-03,True,1775789346.6842334
91,1.1222,0.7886,0.703,1.329056e-06,2.347177e-08,7.563856e-03,True,1775789346.9205556
91,1.0373,0.7118,0.686,5.646580e-07,1.326044e-08,3.382473e-03,True,1775789347.154667
91,1.0854,0.7458,0.687,7.128547e-07,1.444437e-08,3.835883e-03,True,1775789347.3933692
91,1.0691,0.7118,0.666,1.149747e-06,1.848694e-08,5.897451e-03,True,1775789347.6305885
91,1.0823,0.7447,0.688,4.455360e-07,9.366723e-09,2.228301e-03,True,1775789347.8664765
91,1.0506,0.7196,0.685,4.889444e-08,7.651189e-09,5.741757e-04,True,1775789348.1044087
91,1.0465,0.7033,0.672,3.411114e-07,1.239027e-08,1.834536e-03,True,1775789348.3387444
91,1.0844,0.7564,0.697,1.420081e-04,8.993256e-06,1.694175e-03,True,1775789348.6609187
91,1.0463,0.7104,0.679,2.189714e-05,1.142645e-06,9.468601e-03,True,1775789348.8955069
91,1.0629,0.7402,0.696,6.317772e-06,1.593089e-07,7.302037e-03,True,1775789349.1325188
91,1.0708,0.7390,0.690,3.391666e-06,1.289705e-07,8.796826e-03,True,1775789349.3728383
91,1.0588,0.7035,0.664,4.305912e-07,5.528505e-08,2.033941e-03,True,1775789349.60799
91,1.0947,0.7374,0.674,5.454349e-07,4.079283e-08,1.976732e-03,True,1775789349.8446615
91,1.1172,0.7564,0.677,1.624867e-07,1.501088e-08,6.826549e-04,True,1775789350.0812736
91,1.0722,0.7402,0.690,2.260231e-08,3.728687e-09,1.597444e-04,True,1775789350.3176734
91,1.0627,0.7211,0.679,1.792796e-08,2.284326e-09,8.811398e-05,True,1775789350.556072
91,1.0734,0.7590,0.707,4.627509e-09,3.164277e-10,1.586528e-05,True,1775789350.7927232
91,1.0805,0.7704,0.713,1.827721e-08,1.030993e-09,5.177975e-05,True,1775789351.0315611
91,1.0539,0.7255,0.688,3.405148e-09,7.165538e-10,2.463027e-05,True,1775789351.2665899
91,1.0916,0.7642,0.700,1.737499e-08,6.252147e-10,4.499560e-05,True,1775789351.507349
91,1.0895,0.7661,0.703,2.685283e-09,8.121898e-10,2.738885e-05,True,1775789351.743953
91,1.0567,0.7169,0.678,1.248554e-08,5.898423e-10,3.376761e-05,True,1775789351.980243
91,1.0854,0.7696,0.709,2.990419e-09,8.172921e-10,2.815813e-05,True,1775789352.2175438
90,1.1162,0.9299,0.833,1.371233e-05,2.387085e-06,1.695084e-03,True,1775789353.4896328
90,1.0947,0.7265,0.664,4.082511e-06,5.692158e-07,6.838944e-03,True,1775789353.714342
90,1.0465,0.7249,0.693,1.509579e-07,2.728255e-08,1.031479e-02,True,1775789353.9389222
90,1.1236,0.7589,0.675,6.847267e-08,1.202694e-08,9.706709e-03,True,1775789354.1677263
90,1.0774,0.7128,0.662,4.694289e-08,8.568004e-09,8.417068e-03,True,1775789354.3922381
90,1.0629,0.7435,0.699,4.667322e-08,8.512039e-09,8.234083e-03,True,1775789354.6195745
90,1.0713,0.7298,0.681,5.197899e-08,9.419755e-09,9.321882e-03,True,1775789354.8428152
90,1.0424,0.7001,0.672,4.506819e-08,8.240063e-09,8.151033e-03,True,1775789355.0628362
90,1.0585,0.7455,0.704,5.753918e-08,1.027544e-08,9.904662e-03,True,1775789355.2867415
90,1.1427,0.8050,0.704,4.710637e-08,8.406812e-09,8.881668e-03,True,1775789355.5100646
90,1.0445,0.7088,0.679,5.079744e-08,8.911291e-09,9.965595e-03,True,1775789355.7307734
90,1.0586,0.7368,0.696,4.137405e-08,7.474153e-09,8.006287e-03,True,1775789355.9519825
90,1.0486,0.7292,0.695,5.419372e-08,9.585607e-09,1.017507e-02,True,1775789356.17258
90,1.0291,0.6893,0.670,4.583649e-08,8.244956e-09,8.516183e-03,True,1775789356.3928592
90,1.1745,0.8429,0.718,4.957769e-08,8.929515e-09,9.119565e-03,True,1775789356.6217084
90,1.0895,0.7593,0.697,4.651815e-08,8.355711e-09,8.651318e-03,True,1775789356.850366
90,1.0741,0.7569,0.705,2.519866e-05,4.178423e-06,1.602095e-02,True,1775789357.1570725
90,1.0588,0.7305,0.690,5.354232e-07,1.294006e-07,1.981083e-03,True,1775789357.3773944
90,1.1244,0.8279,0.736,8.330971e-08,1.634485e-08,4.765653e-03,True,1775789357.5991871
90,1.1254,0.7429,0.660,6.055984e-08,1.101509e-08,8.050935e-03,True,1775789357.8216054
90,1.0431,0.7115,0.682,6.799564e-08,1.304372e-08,7.801038e-03,True,1775789358.0404413
90,1.0936,0.7513,0.687,5.878701e-08,1.150674e-08,6.779356e-03,True,1775789358.2630272
90,1.0772,0.7164,0.665,7.546896e-08,1.403829e-08,8.714895e-03,True,1775789358.4831781
90,1.0588,0.7057,0.667,5.134052e-08,9.917473e-09,6.725908e-03,True,1775789358.7051382
90,1.0967,0.7913,0.722,6.065102e-08,1.148332e-08,8.234446e-03,True,1775789358.9255717
90,1.0693,0.7475,0.699,5.349648e-08,1.058529e-08,6.740618e-03,True,1775789359.1465394
90,1.0312,0.7114,0.690,7.377957e-08,1.390777e-08,8.188873e-03,True,1775789359.3652625
90,1.1059,0.8000,0.723,6.241953e-08,1.207765e-08,6.821787e-03,True,1775789359.5956864
90,1.0667,0.7278,0.682,6.273604e-08,1.235256e-08,7.365620e-03,True,1775789359.817718
90,1.0709,0.7310,0.683,5.115498e-08,9.911918e-09,6.776417e-03,True,1775789360.037736
90,1.0812,0.7499,0.694,5.307083e-08,1.035014e-08,7.364370e-03,True,1775789360.2598348
90,1.0424,0.7044,0.676,5.693482e-08,1.092962e-08,6.895606e-03,True,1775789360.4790156
90,1.1052,0.7816,0.707,6.389979e-06,9.979965e-07,6.556209e-03,True,1775789360.7905903
90,1.0703,0.7644,0.714,6.783084e-07,1.178418e-07,5.666034e-03,True,1775789361.0115008
90,1.0596,0.7320,0.691,6.242533e-08,8.606707e-09,1.080595e-02,True,1775789361.2375758
90,1.1039,0.7716,0.699,7.434642e-08,1.137812e-08,1.827783e-02,True,1775789361.4590006
90,1.1766,0.8676,0.737,6.834807e-08,1.040259e-08,1.702735e-02,True,1775789361.6861796
90,1.0765,0.7682,0.714,6.541768e-08,9.958385e-09,1.687699e-02,True,1775789361.9095798
90,1.0973,0.7544,0.687,7.174526e-08,1.080016e-08,1.763408e-02,True,1775789362.131479
